lsoa21,oa01,prop_oa01
E01009044,E00045846,1
E01009045,E00045850,1
E01009045,E00045853,1
E01009045,E00045851,1
E01009045,E00045843,1
E01009045,E00045856,1
E01009046,E00045857,1
E01009046,E00045861,1
E01009046,E00045859,1
E01009046,E00045855,1
E01009046,E00045854,1
E01009047,E00045929,1
E01009047,E00045944,1
E01009047,E00045935,1
E01009047,E00045948,1
E01009048,E00045947,1
E01009048,E00045945,1
E01009048,E00045941,1
E01009048,E00045933,1
E01009049,E00045901,1
E01009049,E00045954,1
E01009049,E00045951,1
E01009049,E00045911,1
E01009050,E00045949,1
E01009050,E00045953,1
E01009050,E00045957,1
E01009050,E00045964,1
E01009050,E00045966,1
E01009051,E00045950,1
E01009051,E00045952,1
E01009051,E00045909,1
E01009051,E00045967,1
E01009053,E00045956,1
E01009053,E00045902,1
E01009053,E00045959,1
E01009053,E00045913,1
E01009054,E00045915,1
E01009054,E00045910,1
E01009054,E00045962,1
E01009054,E00045918,1
E01009056,E00045908,1
E01009056,E00045922,1
E01009056,E00045960,1
E01009056,E00045963,1
E01009057,E00045961,1
E01009057,E00045925,1
E01009057,E00045906,1
E01009057,E00045914,1
E01009058,E00045905,1
E01009058,E00045923,1
E01009058,E00045904,1
E01009058,E00045969,1
E01009059,E00045927,1
E01009059,E00045920,1
E01009059,E00045926,1
E01009059,E00045917,1
E01009060,E00045928,1
E01009060,E00045940,1
E01009060,E00045924,1
E01009060,E00045907,1
E01009061,E00045934,1
E01009061,E00045921,1
E01009061,E00045932,1
E01009061,E00045931,1
E01009062,E00045939,1
E01009062,E00045930,1
E01009062,E00045943,1
E01009062,E00045936,1
E01009064,E00046028,1
E01009064,E00046032,1
E01009064,E00046035,1
E01009064,E00046037,1
E01009064,E00045970,1
E01009065,E00046039,1
E01009065,E00046043,1
E01009065,E00046045,1
E01009065,E00045976,1
E01009065,E00045980,1
E01009066,E00046038,1
E01009066,E00046040,1
E01009066,E00046041,1
E01009066,E00046044,1
E01009066,E00046042,1
E01009067,E00045975,1
E01009067,E00046046,1
E01009067,E00046047,1
E01009067,E00046048,1
E01009067,E00045982,1
E01009067,E00045983,1
E01009068,E00045991,1
E01009068,E00046001,1
E01009068,E00045986,1
E01009068,E00045979,1
E01009068,E00045985,1
E01009069,E00046050,1
E01009069,E00045989,1
E01009069,E00045971,1
E01009069,E00045978,1
E01009069,E00046049,1
E01009069,E00045981,1
E01009070,E00045994,1
E01009070,E00045987,1
E01009070,E00045972,1
E01009070,E00045984,1
E01009070,E00045990,1
E01009071,E00046005,1
E01009071,E00045993,1
E01009071,E00046016,1
E01009071,E00045999,1
E01009071,E00046018,1
E01009071,E00046011,1
E01009072,E00045995,1
E01009072,E00046000,1
E01009072,E00045997,1
E01009072,E00046006,1
E01009072,E00045977,1
E01009072,E00045988,1
E01009073,E00045996,1
E01009073,E00046002,1
E01009073,E00046010,1
E01009073,E00046017,1
E01009073,E00046012,1
E01009074,E00046004,1
E01009074,E00046008,1
E01009074,E00046003,1
E01009074,E00046014,1
E01009074,E00045998,1
E01009075,E00045973,1
E01009075,E00045992,1
E01009075,E00046009,1
E01009075,E00046007,1
E01009075,E00046013,1
E01009075,E00046019,1
E01009077,E00046027,1
E01009077,E00046020,1
E01009077,E00046015,1
E01009077,E00046025,1
E01009077,E00046030,1
E01009077,E00046036,1
E01009078,E00046034,1
E01009078,E00046024,1
E01009078,E00046031,1
E01009078,E00046029,1
E01009078,E00046033,1
E01009079,E00046080,1
E01009079,E00046081,1
E01009079,E00046074,1
E01009079,E00046091,1
E01009079,E00046073,1
E01009079,E00046076,1
E01009080,E00046079,1
E01009080,E00046055,1
E01009080,E00046075,1
E01009080,E00046078,1
E01009080,E00046072,1
E01009081,E00046083,1
E01009081,E00046056,1
E01009081,E00046082,1
E01009081,E00046054,1
E01009081,E00046077,1
E01009082,E00046087,1
E01009082,E00046088,1
E01009082,E00046086,1
E01009082,E00046085,1
E01009083,E00046090,1
E01009083,E00046094,1
E01009083,E00046089,1
E01009083,E00046098,1
E01009083,E00046092,1
E01009083,E00046084,1
E01009084,E00046102,1
E01009084,E00046099,1
E01009084,E00046112,1
E01009084,E00046096,1
E01009085,E00046116,1
E01009085,E00046113,1
E01009085,E00046108,1
E01009085,E00046057,1
E01009086,E00046103,1
E01009086,E00046101,1
E01009086,E00046097,1
E01009086,E00046114,1
E01009086,E00046107,1
E01009087,E00046105,1
E01009087,E00046058,1
E01009087,E00046115,1
E01009087,E00046104,1
E01009087,E00046093,1
E01009088,E00046059,1
E01009088,E00046110,1
E01009088,E00046109,1
E01009088,E00046095,1
E01009088,E00046100,1
E01009089,E00046120,1
E01009089,E00046111,1
E01009089,E00046118,1
E01009089,E00046125,1
E01009090,E00046119,1
E01009090,E00046123,1
E01009090,E00046117,1
E01009090,E00046106,1
E01009091,E00046126,1
E01009091,E00046121,1
E01009091,E00046051,1
E01009091,E00046124,1
E01009091,E00046122,1
E01009092,E00046068,1
E01009092,E00046060,1
E01009092,E00046066,1
E01009092,E00046127,1
E01009092,E00046128,1
E01009093,E00046067,1
E01009093,E00046062,1
E01009093,E00046064,1
E01009093,E00046131,1
E01009093,E00046130,1
E01009094,E00046061,1
E01009094,E00046069,1
E01009094,E00046070,1
E01009094,E00046053,1
E01009095,E00046065,1
E01009095,E00046129,1
E01009095,E00046063,1
E01009095,E00046071,1
E01009095,E00046052,1
E01009096,E00046147,1
E01009096,E00046146,1
E01009096,E00046152,1
E01009096,E00046157,1
E01009096,E00046155,1
E01009096,E00046141,1
E01009097,E00046151,1
E01009097,E00046156,1
E01009097,E00046165,1
E01009097,E00046168,1
E01009097,E00046161,1
E01009098,E00046132,1
E01009098,E00046187,1
E01009098,E00046150,1
E01009098,E00046153,1
E01009098,E00046159,1
E01009098,E00046148,1
E01009099,E00046160,1
E01009099,E00046163,1
E01009099,E00046135,1
E01009099,E00046133,1
E01009099,E00046166,1
E01009100,E00046184,1
E01009100,E00046134,1
E01009100,E00046145,1
E01009100,E00046139,1
E01009100,E00046136,1
E01009101,E00046183,1
E01009101,E00046162,1
E01009101,E00046174,1
E01009101,E00046169,1
E01009101,E00046172,1
E01009102,E00046164,1
E01009102,E00046170,1
E01009102,E00046176,1
E01009102,E00046178,1
E01009102,E00046137,1
E01009103,E00046175,1
E01009103,E00046182,1
E01009103,E00046181,1
E01009103,E00046177,1
E01009103,E00046167,1
E01009104,E00046171,1
E01009104,E00046180,1
E01009104,E00046138,1
E01009104,E00046179,1
E01009104,E00046173,1
E01009105,E00046154,1
E01009105,E00046144,1
E01009105,E00046186,1
E01009105,E00046188,1
E01009105,E00046149,1
E01009106,E00046185,1
E01009106,E00046143,1
E01009106,E00046142,1
E01009106,E00046140,1
E01009106,E00046158,1
E01009107,E00046249,1
E01009107,E00046202,1
E01009107,E00046248,1
E01009107,E00046256,1
E01009107,E00046253,1
E01009107,E00046212,1
E01009108,E00046247,1
E01009108,E00046252,1
E01009108,E00046259,1
E01009108,E00046258,1
E01009108,E00046198,1
E01009109,E00046241,1
E01009109,E00046251,1
E01009109,E00046250,1
E01009109,E00046246,1
E01009109,E00046243,1
E01009110,E00046257,1
E01009110,E00046203,1
