index,year,lsoa21,total_residents,residents_10,InActive_sick,Foreman,Skilled,Semi_skilled,Unskilled,Total_employed,Manufacturing,Well_Edu,Disabled,total_persons,poor_health,updated
Manufacturing,2021,E01009127,1145,0,120,0,73,63,102,555,65,648,351,1546,134,NA
Manufacturing,2021,E01009128,1028,0,100,0,67,53,103,499,47,578,314,1375,134,NA
Manufacturing,2021,E01009129,1185,0,132,0,70,62,110,610,58,697,362,1596,152,NA
Manufacturing,2021,E01009130,1122,0,109,0,77,71,107,557,48,609,366,1507,140,NA
Manufacturing,2021,E01009131,1107,0,87,0,82,72,122,580,70,611,313,1472,116,NA
Manufacturing,2021,E01009132,1153,0,108,0,68,55,89,535,47,663,350,1546,147,NA
Manufacturing,2021,E01009133,1138,0,123,0,76,57,113,562,50,643,367,1488,141,NA
Manufacturing,2021,E01009134,1265,0,104,0,72,84,126,648,70,699,362,1683,145,NA
Manufacturing,2021,E01009135,1198,0,44,0,59,44,53,610,42,822,240,1404,83,NA
Manufacturing,2021,E01009136,1435,0,161,0,57,64,110,594,57,837,493,1757,218,NA
Manufacturing,2021,E01009137,1205,0,93,0,81,71,97,609,53,701,322,1609,121,NA
Manufacturing,2021,E01009138,1682,0,70,0,63,74,132,922,45,1170,263,2216,85,NA
Manufacturing,2021,E01009139,1282,0,42,0,39,59,114,681,50,917,221,1600,60,NA
Manufacturing,2021,E01009140,1818,0,81,0,56,59,127,1036,69,1357,321,2202,125,NA
Manufacturing,2021,E01009141,1405,0,131,0,48,66,140,604,53,823,345,1921,143,NA
Manufacturing,2021,E01009143,1332,0,109,0,45,64,151,586,26,767,268,1887,131,NA
Manufacturing,2021,E01009145,1605,0,62,0,48,49,104,890,49,1205,303,1975,100,NA
Manufacturing,2021,E01009146,1817,0,96,0,36,30,112,685,40,1496,305,2001,112,NA
Manufacturing,2021,E01009147,1668,0,190,0,44,71,93,802,51,1110,444,1911,124,NA
Manufacturing,2021,E01009151,1532,0,71,0,40,102,130,687,46,856,313,2141,124,NA
Manufacturing,2021,E01009152,1587,0,99,0,40,97,135,662,33,908,314,1945,119,NA
Manufacturing,2021,E01009153,1713,0,138,0,71,66,176,813,73,1101,393,2105,151,NA
Manufacturing,2021,E01009155,1092,0,135,0,62,39,78,456,46,542,428,1327,174,NA
Manufacturing,2021,E01009157,1113,0,108,0,50,59,83,489,35,627,398,1445,164,NA
Manufacturing,2021,E01009158,1711,0,114,0,110,80,105,1004,75,1075,472,2254,158,NA
Manufacturing,2021,E01009159,1795,0,87,0,107,68,99,1129,102,1309,401,2281,88,NA
Manufacturing,2021,E01009160,1157,0,145,0,53,58,88,468,43,683,449,1636,156,NA
Manufacturing,2021,E01009161,1129,0,103,0,58,43,71,541,47,637,379,1445,125,NA
Manufacturing,2021,E01009162,1267,0,33,0,77,57,75,730,62,880,292,1603,94,NA
Manufacturing,2021,E01009164,1145,0,62,0,88,33,82,635,61,773,315,1424,91,NA
Manufacturing,2021,E01009165,1065,0,71,0,76,66,84,622,49,707,295,1380,99,NA
Manufacturing,2021,E01009166,1011,0,45,0,69,47,65,591,38,732,260,1320,67,NA
Manufacturing,2021,E01009167,1172,0,42,0,93,48,71,694,43,787,265,1499,79,NA
Manufacturing,2021,E01009168,1216,0,33,0,105,59,75,759,61,805,269,1441,86,NA
Manufacturing,2021,E01009169,1347,0,46,0,112,62,73,842,71,947,305,1672,85,NA
Manufacturing,2021,E01009170,1206,0,19,0,110,69,79,773,75,861,236,1486,57,NA
Manufacturing,2021,E01009171,1304,0,84,0,103,62,91,747,55,885,352,1645,96,NA
Manufacturing,2021,E01009172,1094,0,75,0,53,34,94,568,41,648,333,1467,99,NA
Manufacturing,2021,E01009173,1242,0,106,0,69,53,90,659,47,810,375,1760,118,NA
Manufacturing,2021,E01009174,952,0,68,0,71,52,73,493,60,564,275,1221,93,NA
Manufacturing,2021,E01009175,1164,0,36,0,32,32,43,783,42,962,223,1450,59,NA
Manufacturing,2021,E01009176,1393,0,66,0,52,37,56,707,37,1005,309,1740,87,NA
Manufacturing,2021,E01009177,1214,0,43,0,44,30,32,748,40,970,257,1534,83,NA
Manufacturing,2021,E01009178,1352,0,60,0,59,24,48,846,41,1053,290,1647,87,NA
Manufacturing,2021,E01009179,1347,0,38,0,45,33,55,745,42,1084,258,1661,75,NA
Manufacturing,2021,E01009182,1322,0,150,0,30,42,90,628,41,863,339,1604,125,NA
Manufacturing,2021,E01009183,1314,0,27,0,25,20,27,803,29,1131,189,1661,35,NA
Manufacturing,2021,E01009184,1328,0,71,0,34,22,40,801,40,1080,334,1536,121,NA
Manufacturing,2021,E01009185,1473,0,59,0,32,21,38,774,55,1123,334,1726,117,NA
Manufacturing,2021,E01009186,1471,0,71,0,61,30,45,846,41,1162,330,1791,118,NA
Manufacturing,2021,E01009187,1245,0,89,0,29,14,26,665,33,1035,302,1489,72,NA
Manufacturing,2021,E01009188,1196,0,69,0,21,24,28,680,40,981,273,1479,77,NA
Manufacturing,2021,E01009189,1146,0,31,0,36,11,39,650,18,967,214,1417,59,NA
Manufacturing,2021,E01009192,2059,0,114,0,59,123,150,834,67,1078,412,2777,192,NA
Manufacturing,2021,E01009195,1902,0,97,0,55,144,159,760,72,985,323,2757,136,NA
Manufacturing,2021,E01009197,1350,0,86,0,36,71,126,556,41,790,239,1924,102,NA
Manufacturing,2021,E01009199,1019,0,44,0,52,46,85,558,33,692,171,1443,71,NA
Manufacturing,2021,E01009200,1249,0,73,0,45,50,116,597,38,774,313,1843,92,NA
Manufacturing,2021,E01009201,1418,0,98,0,38,76,149,549,51,773,333,1951,140,NA
Manufacturing,2021,E01009202,1184,0,90,0,34,89,145,520,32,654,257,1784,117,NA
Manufacturing,2021,E01009204,1503,0,105,0,34,76,172,555,37,910,337,2169,147,NA
Manufacturing,2021,E01009205,1245,0,45,0,71,32,51,715,48,925,292,1534,85,NA
Manufacturing,2021,E01009206,1283,0,29,0,70,47,66,720,66,918,247,1511,65,NA
Manufacturing,2021,E01009207,1315,0,26,0,83,57,72,806,61,929,255,1622,57,NA
Manufacturing,2021,E01009208,1375,0,26,0,91,56,77,901,69,995,257,1690,58,NA
Manufacturing,2021,E01009209,1681,0,105,0,106,66,99,968,64,1134,426,2041,116,NA
Manufacturing,2021,E01009210,1436,0,72,0,84,51,84,753,70,915,399,1818,119,NA
